"plot_id","group_id","species","dbh_class_index","basal_cm2_ha"
VIBI75_1,standing_dead_VIBI75_1,Standing dead,3,552.0000000000000000000000
"1070_3",acer_rubrum_1070_3,Acer rubrum,10,11040.00000000000000000000
"4738_1",prunus_serotina_4738_1,Prunus serotina,10,55200.00000000000000000000
VIBI037_1,VIBI037_1st,Acer nigrum,4,441.8000000000000000000000
"1128_3",acer_saccharum_1128_3,Acer saccharum,7,9940.000000000000000000000
"1060_3",standing_dead_1060_3,Standing dead,7,9940.000000000000000000000
"1058_3",fraxinus_pennsylvanica_1058_3,Fraxinus pennsylvanica,1,178.633000000000000000000000
"1376_2","1376_2nd",Standing dead,4,883.6000000000000000000000
"1097_1","1097_1st",Fagus grandifolia,6,7215.000000000000000000000
"1349a_2",carya_ovata_1349a_2,Carya ovata,4,441.8000000000000000000000
"1363_1","1363_1st",Standing dead,2,48.10000000000000000000000
"1246_1","1246_1st",Acer negundo,5,2454.000000000000000000000
"1039_3",asimina_triloba_1039_3,Asimina triloba,1,7.852000000000000000000000
"1217_1","1217_1st",Pinus nigra,9,116200.00000000000000000000
"1296_2",fagus_grandifolia_1296_2,Fagus grandifolia,3,1840.000000000000000000
"1252_2",quercus_rubra_1252_2,Quercus rubra,2,24.05000000000000000000000
"1348_2",standing_dead_1348_2,Standing dead,2,120.25000000000000000000000
"1324_1","1324_1st",Vitis riparia,1,1.963000000000000000000000
,,Juniperus virginiana,4,
"3652_2",lonicera_maackii_3652_2,Lonicera maackii,0,29.44500000000000000000
"3459_3",juglans_nigra_3459_3,Juglans nigra,10,11040.00000000000000000000
"1068_2","1068_2nd",Fagus grandifolia,8,11880.00000000000000000000
"1324_2",ulmus_sp.1_1324_2,Ulmus sp.,1,1.963000000000000000000000
"1054_1","1054_1st",Acer negundo,4,7952.4000000000000000000000
"1236_1","1236_1st",Betula lenta,8,29700.00000000000000000000
"3409_2","3409_2nd",Pinus nigra,10,33120.00000000000000000000
"3376_2","3376_2nd",Fagus grandifolia,4,7952.4000000000000000000000
"3378_3",aesculus_glabra_3378_3,Aesculus glabra,2,264.55000000000000000000000
"1358_1","1358_1st",Standing dead,0,3.926000000000000000000000
"1147_3",ostrya_virginiana_1147_3,Ostrya virginiana,4,883.6000000000000000000000
"3479_1","3479_1st",Standing dead,3,772.8000000000000000000000
"1259_1","1259_1st",Prunus serotina,6,9620.000000000000000000000
Large-051_1,acer_saccharinum_Large-051_1,Acer saccharinum,11,31415.926535898000
"1377_2",fraxinus_pennsylvanica_1377_2,Fraxinus pennsylvanica,1,17.667000000000000000000000
"1289_1","1289_1st",Standing dead,2,553.15000000000000000000000
"1146_3",acer_saccharum_1146_3,Acer saccharum,7,11928.000000000000000000000
"3479_3",prunus_serotina_3479_3,Prunus serotina,9,8300.00000000000000000000
"1282_2",acer_saccharum_1282_2,Acer saccharum,8,19800.00000000000000000000
"3435_1","3435_1st",Crataegus sp.,5,2454.00000000000000000
"1048_2","1048_2nd",Fagus grandifolia,4,441.8000000000000000000000
"1232_3",standing_dead_1232_3,Standing dead,0,3.926000000000000000000000
"3452_2",ailanthus_altissima_3452_2,Ailanthus altissima,1,9.815000000000000000000000
"1038_1","1038_1st",Fagus grandifolia,5,8180.000000000000000000000
"1366_2",standing_dead_1366_2,Standing dead,11,36983.614116222500
"3398_2",quercus_alba_3398_2,Quercus alba,11,69693.405586501300
VIBI031_1,VIBI031_1st,Acer rubrum,5,1227.000000000000000000000
"1144_2",fagus_grandifolia_1144_2,Fagus grandifolia,5,1227.000000000000000000000
"1253_1","1253_1st",Fraxinus sp.,8,5940.00000000000000000000
"1198_3",standing_dead_1198_3,Standing dead,6,2405.000000000000000000000
VIBI86_1,quercus_palustris_VIBI86_1,Quercus palustris,6,9620.000000000000000000000
"1288_2",acer_rubrum_1288_2,Acer rubrum,8,11880.00000000000000000000
"1171_3",standing_dead_1171_3,Standing dead,2,80.1666666666666666667
"1072_4",prunus_serotina_1072_4,Prunus serotina,9,8300.00000000000000000000
"1047_2","1047_2nd",Cornus florida,3,110.4000000000000000000000
"1144_2",acer_saccharum_1144_2,Acer saccharum,11,16763.852558820500
"1102_2",standing_dead_1102_2,Standing dead,10,11040.00000000000000000000
"1003_1","1003_1st",Acer saccharum,3,441.6000000000000000000000
"3411_2",standing_dead_3411_2,Standing dead,7,3976.000000000000000000000
"1167_1","1167_1st",Prunus cerasus,3,828.000000000000000000
"1298_3",standing_dead_1298_3,Standing dead,7,7952.000000000000000000000
"1399_2",fagus_grandifolia_1399_2,Fagus grandifolia,11,102040.343105290600
"1240a_2",acer_platanoides_1240a_2,Acer platanoides,3,110.4000000000000000000000
"3374_2",fagus_grandifolia_3374_2,Fagus grandifolia,1,19.63000000000000000000
"1385_2",standing_dead_1385_2,Standing dead,4,7731.5000000000000000000000
