"plot_id","group_id","species","dbh_class_index","basal_cm2_ha"
"1232_3",carya_cordiformis_1232_3,Carya cordiformis,3,110.4000000000000000000000
"1217_1","1217_1st",Fagus grandifolia,3,110.4000000000000000000000
VIBI82_1,acer_saccharum_VIBI82_1,Acer saccharum,6,9620.000000000000000000000
"1005_1","1005_1st",Ulmus americana,3,331.2000000000000000000000
"1174_2",standing_dead_1174_2,Standing dead,6,9620.000000000000000000000
LtoL-003_1,acer_rubrum_LtoL-003_1,Acer rubrum,5,12270.000000000000000000000
"1128_3",acer_rubrum_1128_3,Acer rubrum,3,276.0000000000000000000000
"1054_3",aesculus_glabra_1054_3,Aesculus glabra,3,220.8000000000000000000000
"1306_2",vitis_aestivalis_1306_2,Vitis aestivalis,4,883.6000000000000000000000
"3402_1","3402_1st",Standing dead,4,4418.0000000000000000000000
"1302_2",ostrya_virginiana_1302_2,Ostrya virginiana,2,24.05000000000000000000000
"1328_2",acer_saccharum_1328_2,Acer saccharum,5,4908.000000000000000000000
"3409_2","3409_2nd",Magnolia acuminata,5,1227.000000000000000000000
"1267_3",ostrya_virginiana_1267_3,Ostrya virginiana,4,883.6000000000000000000000
Large-113_1,standing_dead_Large-113_1,Standing dead,7,4970.000000000000000000000
"1060_3",fagus_grandifolia_1060_3,Fagus grandifolia,5,3067.500000000000000000000
"1090_1","1090_1st",Robinia pseudoacacia,7,3976.000000000000000000000
"1199_1","1199_1st",Standing dead,4,883.6000000000000000000000
"1184_2",acer_saccharinum_1184_2,Acer saccharinum,10,11040.00000000000000000000
"1374_1","1374_1st",Standing dead,1,3.926000000000000000000000
"3459_1","3459_1st",Standing dead,5,1227.000000000000000000000
Exclosure101Be_outside_fall2016_2,quercus_rubra_Exclosure101Be_outside_fall2016_2,Quercus rubra,5,12270.000000000000000000000
"1008_4",acer_rubrum_1008_4,Acer rubrum,11,64650.638868683500
SC294CCGrant_1,standing_dead_SC294CCGrant_1,Standing dead,1,200.226000000000000000000000
"1263_1","1263_1st",Salix sp.,6,6012.500000000000000000000
"1295_3",carya_cordiformis_1295_3,Carya cordiformis,5,1227.000000000000000000000
"1132_1","1132_1st",Acer saccharum,5,6135.000000000000000000000
VIBI030_1,VIBI030_1st,Carpinus caroliniana,2,24.05000000000000000000000
"1184_1","1184_1st",Fagus grandifolia,3,662.4000000000000000000000
"1051_3",fagus_grandifolia_1051_3,Fagus grandifolia,11,133881.562746668200
"1067_2","1067_2nd",Acer rubrum,4,883.6000000000000000000000
"1194_2",rhamnus_frangula_1194_2,Rhamnus frangula,2,120.25000000000000000000000
"1236_3",acer_saccharum_1236_3,Acer saccharum,4,4418.000000000000000000
"3484_2","3484_2nd",Acer rubrum,11,49558.859729828000
VIBI74_1,acer_rubrum_VIBI74_1,Acer rubrum,3,993.6000000000000000000000
"1182_3",acer_rubrum_1182_3,Acer rubrum,8,17820.00000000000000000000
wetlandflipflopA_1,aesculus_glabra_wetlandflipflopA_1,Aesculus glabra,6,43290.000000000000000000000
"4235_2",acer_sp.1_4235_2,Acer sp.,5,9816.000000000000000000000
"1140_3",standing_dead_1140_3,Standing dead,3,883.200000000000000000
"1180_2",acer_saccharinum_1180_2,Acer saccharinum,9,20750.00000000000000000000
"1105_1","1105_1st",Standing dead,11,55270.039554605300
"1024_1","1024_1st",Prunus serotina,5,2454.000000000000000000000
"1104_3",fraxinus_pennsylvanica_1104_3,Fraxinus pennsylvanica,5,3067.500000000000000000000
"1253_2",acer_saccharum_1253_2,Acer saccharum,4,14137.6000000000000000000000
"1112_1","1112_1st",Vitis aestivalis,1,9.81500000000000000000
"1103_3",carya_cordiformis_1103_3,Carya cordiformis,8,23760.00000000000000000000
"1114_1","1114_1st",Fagus grandifolia,3,883.2000000000000000000000
"3423_1","3423_1st",Acer saccharum,9,8300.00000000000000000000
"1348_1","1348_1st",Crataegus sp.,4,736.3333333333333333333333
"3365_2","3365_2nd",Carya ovata,4,441.8000000000000000000000
"1132_1","1132_1st",Lonicera morrowii,0,9.815000000000000000000000
,,Tilia sp.,7,
"1261_1","1261_1st",Fraxinus sp.,2,24.05000000000000000000000
"1371_1","1371_1st",Toxicodendron radicans,1,323.89500000000000000000
Large-007_1,prunus_serotina_Large-007_1,Prunus serotina,4,441.8000000000000000000000
"1237_3",standing_dead_1237_3,Standing dead,6,2405.000000000000000000000
"3443_2",amelanchier_sp.1_3443_2,Amelanchier sp.,2,384.8000000000000000000
"1076_3",parthenocissus_quinquefolia_1076_3,Parthenocissus quinquefolia,0,1.963000000000000000000000
"1215_1","1215_1st",Vitis aestivalis,4,4418.0000000000000000000000
Large-018_1,standing_dead_Large-018_1,Standing dead,3,2208.0000000000000000000000
"3421_1","3421_1st",Fraxinus pennsylvanica,3,110.4000000000000000000000
"1212_3",vitis_aestivalis_1212_3,Vitis aestivalis,1,9.81500000000000000000
VIBI85_1,platanus_occidentalis_VIBI85_1,Platanus occidentalis,6,18037.500000000000000000000
"1329_2",prunus_serotina_1329_2,Prunus serotina,11,26238.896002047300
"1012_1","1012_1st",Acer rubrum,5,1227.000000000000000000000
RR Woodlot 2023 A_3,prunus_serotina_RR Woodlot 2023 A_3,Prunus serotina,8,17820.00000000000000000000
"1283_1","1283_1st",Acer saccharum,6,12025.000000000000000000000
"3440_1","3440_1st",Standing dead,3,110.4000000000000000000000
"1188_2",pyrus_sp.1_1188_2,Pyrus sp.,3,1104.000000000000000000
"3423_1","3423_1st",Pinus strobus,11,14186.254326366400
VIBI028_1,VIBI028_1st,Acer saccharum,4,441.8000000000000000000000
"1008_4",pyrus_sp.1_1008_4,Pyrus sp.,2,30.06250000000000000000000
,,Acer saccharum,2,
"3443_2",smilax_rotundifolia_3443_2,Smilax rotundifolia,1,19.630000000000000000000000
"1302_1","1302_1st",Standing dead,1,25.519000000000000000000000
"1143_1","1143_1st",Standing dead,3,331.2000000000000000000000
"1354_2",ulmus_americana_1354_2,Ulmus americana,6,14430.000000000000000000000
"1078_2","1078_2nd",Crataegus sp.,4,1656.7500000000000000000000
VIBI68_1,acer_saccharum_VIBI68_1,Acer saccharum,7,7952.000000000000000000000
"1332_1","1332_1st",Fagus grandifolia,6,4810.000000000000000000000
X-Large-032_1,quercus_bicolor_X-Large-032_1,Quercus bicolor,4,441.8000000000000000000000
"3463_2",standing_dead_3463_2,Standing dead,2,160.3333333333333333333
"1374_2",acer_rubrum_1374_2,Acer rubrum,10,11040.00000000000000000000
"1017_2","1017_2nd",Lindera benzoin,0,1.963000000000000000000000
"1233_2",vitis_aestivalis_1233_2,Vitis aestivalis,3,5244.000000000000000000
"3365_3",carya_ovata_3365_3,Carya ovata,4,441.8000000000000000000000
"1393_1","1393_1st",Standing dead,11,236883.940062304250
"1249_3",pinus_strobus_1249_3,Pinus strobus,7,19880.000000000000000000000
"1264_2",acer_saccharum_1264_2,Acer saccharum,9,8300.00000000000000000000
"1315_2",standing_dead_1315_2,Standing dead,7,3976.000000000000000000000
"1369_2",acer_saccharum_1369_2,Acer saccharum,2,481.00000000000000000000000
"1248_2",acer_saccharum_1248_2,Acer saccharum,1,1.963000000000000000000000
X-Large-018_1,acer_rubrum_X-Large-018_1,Acer rubrum,7,31808.000000000000000000000
"1039_2","1039_2nd",Ulmus americana,11,17870.085871965800
"1141_2",fraxinus_pennsylvanica_1141_2,Fraxinus pennsylvanica,5,1227.000000000000000000000
"1066_2","1066_2nd",Standing dead,3,441.600000000000000000
"1263_2",standing_dead_1263_2,Standing dead,2,360.7500000000000000000
"1240_2",magnolia_acuminata_1240_2,Magnolia acuminata,3,110.4000000000000000000000
"1198_2",ulmus_americana_1198_2,Ulmus americana,3,3753.6000000000000000000000
Large-062_1,fraxinus_americana_Large-062_1,Fraxinus americana,1,1.963000000000000000000000
"1083_1","1083_1st",Standing dead,4,4418.0000000000000000000000
"3387_1","3387_1st",Acer negundo,5,3067.50000000000000000
Large-078_1,carpinus_caroliniana_Large-078_1,Carpinus caroliniana,2,72.15000000000000000000000
"1094_3",lonicera_morrowii_1094_3,Lonicera morrowii,0,1.963000000000000000000000
"3369_2","3369_2nd",Fraxinus sp.,5,1227.000000000000000000000
"1002_3",carya_cordiformis_1002_3,Carya cordiformis,6,2405.000000000000000000000
"1126_1","1126_1st",Acer rubrum,3,772.8000000000000000000000
"1105_2",acer_saccharum_1105_2,Acer saccharum,3,883.2000000000000000000000
"1243_2",fraxinus_pennsylvanica_1243_2,Fraxinus pennsylvanica,4,441.8000000000000000000000
"3668_2","3668_2nd",Acer rubrum,3,883.2000000000000000000000
